Node ID,Title,Path,Path Label,Narrative,Resource 1 Label,Resource 1 URL,Resource 1 Why,Resource 2 Label,Resource 2 URL,Resource 2 Why,Resource 3 Label,Resource 3 URL,Resource 3 Why,Resource 4 Label,Resource 4 URL,Resource 4 Why,Resource 5 Label,Resource 5 URL,Resource 5 Why,Choice 1 Label,Choice 1 To,Choice 2 Label,Choice 2 To,Choice 3 Label,Choice 3 To,Choice 4 Label,Choice 4 To,Choice 5 Label,Choice 5 To
D1,Designing a Mission-Aligned Seminar,shared,Shared Start,"You are preparing an upper-level interdisciplinary seminar at Soka University of America, but you're facing a challenge. Since you last taught it, students' study habits have changed. Now they are accustomed to using ChatGPT and other generative AI tools. You know most use it for brainstorming and finding sources, but the international students rely on it heavily for translation. Additionally, you suspect some students use it for writing and have been able to avoid AI detection tools by using ""humanizers"" and other methods designed to evade detection. As you outline the syllabus, you consider how each possible stance on AI could cultivate SUA's values, including leadership in humanism, intercultural dialogue, and pacifism. As you always ask when designing a course: How can you instill the excitement of your advanced topic and encourage students to use its knowledge to live virtuous and contributive lives? You consider five positions: 1) ignoring the issue and deferring decisions; 2) prohibiting AI outright; 3) allowing limited, ethical AI use; 4) permitting AI to support much of the work; and 5) designing the course to collaborate with students using AI tools. Each, you realize, involves risks and rewards. What will you choose?",Soka University Mission,https://www.soka.edu/about/suas-heritage/mission-and-values,Ground course goals in SUA's mission.,,,,,,,,,,,,,Ignore AI — Defer policy decisions,I1,Prohibitive — Ban AI,P1,Balanced / Literacy — Teach ethical use,B1,AI‑Embracing — Redesign for creativity,E1,Collaborative — Co‑learn with students,C1
I1,The Decision to Maintain Status Quo,ignore,Ignore / Minimal Intervention,"You're facing a heavy workload this semester—committee work, research deadlines, and advising demands pile up. As you draft your syllabus, you decide to maintain the status quo, adding only a vague academic honesty statement: ""Students are expected to submit their own work."" This saves you dozens of hours of course redesign. You tell yourself you'll address AI properly next year, when you have more time. For now, you focus on the content you're passionate about teaching.",EDUCAUSE Review (2024) — Faculty Workload,https://er.educause.edu/articles/2024/2/exploring-the-opportunities-and-challenges-with-generative-ai,Challenge of faculty time and effort in responding to AI.,Medium (2024) — The Cost of Inaction,https://medium.com/@michi.buehler_52708/generative-ai-in-higher-education-d89b7475f007,Systemic risk of neglecting AI and avoiding difficult conversations.,SUA Academic Honesty Policy,https://catalog.soka.edu/academic-honesty,Baseline institutional policy.,,,,,,,Continue deferring,I2,,,,,,,,
I2,Cheating and Complacency,ignore,Ignore / Minimal Intervention,"Midway through the semester, you notice something troubling. Student papers suddenly show uniform polish—similar phrasing, consistent formatting, and a surprising lack of the usual errors. During office hours, two dedicated students confide their frustration: ""Everyone else is using AI and getting away with it. We're working so hard, and they just paste prompts."" You feel caught—you don't have time to investigate every assignment, but the inequity is obvious. Trust begins to erode, and you wonder if your silence communicated approval.",EDUCAUSE Review (2025) — Erosion of Trust,https://er.educause.edu/articles/2025/6/ethics-is-the-edge-the-future-of-ai-in-higher-education,How lack of clear policy erodes student-faculty trust.,HEPI (2025) — Student AI Survey,https://www.hepi.ac.uk/reports/student-generative-ai-survey-2025/,Statistics on high student AI use and belief institutions aren't catching it.,,,,,,,,,,Acknowledge the integrity failure (switch to Prohibitive),P1,Shift to literacy focus (switch to Balanced),B1,,,,,,
P1,Setting the Boundary,prohibitive,Prohibitive,"You draft your new course policy: ""AI-generated text is not permitted on any assignments."" You frame it as protecting academic honesty and human dignity. You also point to SUA's commitment to be philosophers of a renaissance of life, pointing out that allowing machines to think for us or do our work appears to be the opposite of this motto. Finally, you point out that many important leaders have begun to sound the alarm on the potential destructive power of AI, and if your job is to help train the ""pioneers of a global civilization,"" then humanity should be resisting AI, not embracing it, for it is already becoming weaponized. Students nod, although many seem unconvinced. One international student reluctantly and privately asks if translation tools count, while another asks if they can use Grammarly or Microsoft Word's ""algorithmic grammar correction"" tools.",Frontiers in Psychology (2024) — From Tools to Threats,https://pmc.ncbi.nlm.nih.gov/articles/PMC11020077/,Impact of AI chatbots on cognitive health and reliance concerns.,PeerJ Computer Science (2025) — AI Detection Accuracy-Bias Trade-offs,https://peerj.com/articles/cs-2953/,Empirical study showing AI detectors disproportionately affect non-native English speakers.,SUA Academic Honesty Policy,https://catalog.soka.edu/academic-honesty,Institutional grounding for integrity.,,,,,,,Maintain the ban,P2A,Clarify exceptions (switch to Balanced),B1,,,,,,
P2A,The Translation Question,prohibitive,Prohibitive,"A multilingual student confides: ""I only use AI to translate readings so I can understand class discussion."" You reaffirm your rule: each student should rely on their own effort to develop language skills. You remind yourself the policy safeguards fairness, yet you wonder if students continue to use AI. You take more time to check the AI detection tools, and two assignments raise concerns, but their probability scores are too low to confront the students. Participation drops, and you sense growing distance. At the same time, one student tells you during office hours that she appreciates your stance because she has resisted using AI, and feels that when her classmates use it, they are not learning and gain an unfair advantage.",EAIE (2025) — AI and Language Learning,https://www.eaie.org/resource/embracing-ai-in-international-higher-education-transforming-learning-supporting-diversity-and-preparing-for-the-future.html,AI promoting accessibility and inclusivity for international students facing language barriers.,Center for Engaged Learning (2024) — AI Translation Tools,https://www.centerforengagedlearning.org/using-generative-ai-to-support-global-learning-could-leave-cultural-lessons-lost-in-translation/,Risk of losing cultural context and intercultural understanding with AI translation.,UNESCO (2023) — Guidance for GenAI,https://unesdoc.unesco.org/ark:/48223/pf0000386693,Global equity standards for multilingual learning.,,,,,,,Hold firm,P3A,Reconsider inclusion (switch to Balanced),B2A,,,,,,
P3A,The Enforcement Semester,prohibitive,Prohibitive,"You implement AI detection software and restate strict consequences. Midterm, a false flag occurs — a student accused of AI use insists on innocence. The process consumes hours of investigation alongside meetings with the Dean of Students about due-process and dignity. Students stop visiting office hours; compliance rises, curiosity drops.",Policy Brief (2025) — Rethinking AI Detection Tools,https://idaho.pressbooks.pub/airesourceguide/chapter/policy-brief-rethinking-ai-detection-tools-in-higher-education/,"Limitations and ethical risks of detection tools, emphasizing false positives and erosion of trust.",Duke LILE — Authentic Assessment Over Surveillance,https://lile.duke.edu/blog/2025/10/authentic-assessment-over-surveillance/,Shifting from surveillance to authentic assessment.,TEQSA — Evolving Risk to Academic Integrity,https://www.teqsa.gov.au/sites/default/files/2024-08/evolving-risk-to-academic-integrity-posed-by-generative-artificial-intelligence.pdf,Technical and legal analysis of detection tool flaws.,,,,,,,Stay the course,P4,Revisit purpose (switch to Collaborative),C1,,,,,,
P4,"Outcome: Integrity Preserved, Dialogue Lost?",prohibitive,Prohibitive,"By the end of your course, your records show near-perfect compliance. But course evaluations describe your class as ""serious, but tense"" and one student remarks ""I had trouble dismantling all the tools, like the automatic grammar checker and I don't think all of my classmates turned theirs off."" You reflect: was integrity upheld, or did you and your students play ""cat and mouse"" all semester, distracting from the excitement you have previously shared in your field? Have your choices supported SUA's vision of graduates leading ethical lives?",EdTech Magazine (2024) — Top IT Issues: Restoring Trust,https://edtechmagazine.com/higher/article/2024/10/educause-2024-top-10-it-issues-list-seeks-restore-trust-higher-ed,Strategies for repairing student-faculty relationships through trust.,Max Planck Institute (2025) — AI Increases Dishonesty,https://www.mpg.de/25409477/0916-bild-delegation-to-artificial-intelligence-can-increase-dishonest-behavior-149835-x,Empirical evidence on AI delegation and dishonest behavior.,,,,,,,,,,Meta‑Reflection,R1,Restart,D1,,,,,,
B1,Designing the New Course,balanced,Balanced / Literacy,"You're drafting a syllabus for a new upper-level interdisciplinary seminar at Soka University of America. You know that students already use AI for translation, brainstorming, and writing support. Rather than ban it, you design a short unit on ""Responsible AI Use"" that ties directly to SUA's value of fostering leaders of humanism who can engage difference with empathy. Students will practice writing with and without AI, comparing their processes and reflecting on what they learn.",EDUCAUSE (2024) — A Framework for AI Literacy,https://www.educause.edu/content/2024/ai-literacy-in-teaching-and-learning/introduction,Comprehensive framework for AI literacy in teaching and learning.,UNESCO (2023) — Guidance for GenAI in Education,https://unesdoc.unesco.org/ark:/48223/pf0000386693,Global ethical principles for human-centered AI integration.,,,,,,,,,,Create guidance & goals,B2A,Deeper redesign (switch to Embracing),E1,,,,,,
B2A,Ethical AI Workshops,balanced,Balanced / Literacy,"Week three. Students bring examples of AI output alongside their own writing. They identify what AI captures — and what it misses. Discussion turns lively: ""How do we know when AI's help becomes substitution?"" You surface SUA's mission and values, asking which uses cultivate leaders of culture in the community. You realize they're not just learning writing — they're learning judgment.",EDUCAUSE (2024) — A Framework for AI Literacy (Executive Summary),https://www.educause.edu/content/2024/ai-literacy-in-teaching-and-learning/executive-summary,Practical student and faculty competencies for ethical AI use.,UNESCO (2023) — Guidance for GenAI in Education,https://unesdoc.unesco.org/ark:/48223/pf0000386693,Global ethical principles for AI in education.,,,,,,,,,,Facilitate a values-mapping workshop,B2B,Open exploration (switch to Collaborative),C2A,,,,,,
B3A,Refining the Policy,balanced,Balanced / Literacy,"Together, the class revises its ""AI Use Agreement."" Students agree to cite AI assistance, reflect on their process, and take responsibility for final ideas. You highlight alignment with SUA's aim to foster leaders of culture who act with integrity. You notice improved confidence in emerging writers and fewer integrity concerns. Still, updating and clarifying the policy each semester takes time. Some colleagues worry: ""Won't this gray area confuse students?""",Campbell University — AI in Higher Education Survey,https://sites.campbell.edu/academictechnology/2025/03/06/ai-in-higher-education-a-summary-of-recent-surveys-of-students-and-faculty/,Need for transparent policies and self-regulation.,ResearchGate — Students' Acceptance and Self-Regulation of GenAI,https://www.researchgate.net/publication/391714234_Examining_the_Relationship_between_Undergraduate_Students'_Acceptance_Anxiety_and_Online_Self-Regulation_of_Generative_Artificial_Intelligence,Self-regulation skills and GenAI acceptance.,,,,,,,,,,Keep refining through dialogue,B4,Simplify & enforce (switch to Prohibitive),P2A,,,,,,
